RowNumber,CustomerId,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male
55,15569590,8.43900978926739,0.32432432432432434,1,0.39257261783061004,1,1,0,40014.76,1,1,0,1
56,15760861,8.52243209752116,0.33783783783783783,1,0.4990548951568344,1,1,1,113410.49,0,0,0,1
57,15630053,8.68896297153722,0.36486486486486486,5,0.5096268369360644,1,1,0,87107.57,0,0,0,1
58,15647091,8.98350889571526,0.013513513513513514,0,0.3024662324053563,1,0,0,45613.75,0,1,0,1
59,15623944,7.994788272140553,0.6486486486486487,4,0.0,1,1,0,1643.11,1,0,1,0
60,15804771,8.499423259599258,0.44594594594594594,4,0.16216113881137956,1,1,1,46775.28,0,0,0,1
61,15651280,9.053183052567535,0.22972972972972974,5,0.5454684808481404,1,0,0,84509.57,0,1,0,1
62,15773469,8.823730714361636,0.12162162162162163,9,0.607134474399546,2,0,0,126494.82,0,1,0,0
63,15702014,8.217965764877086,0.20270270270270271,1,0.22353573915209957,2,0,0,178798.13,0,0,1,1
64,15751208,8.810868114910335,0.5135135135135135,8,0.31370171052318496,1,1,1,99398.36,0,0,1,1
65,15592461,8.448360500284249,0.10810810810810811,4,0.4351024354151122,1,1,1,92840.67,0,1,0,1
66,15789484,9.08963921656376,0.24324324324324326,6,0.6768941923790651,2,1,1,27758.36,0,1,0,0
67,15696061,8.344341008882852,0.21621621621621623,1,0.40507697766850276,1,1,0,110431.51,0,1,0,0
68,15641582,9.024623925725084,0.33783783783783783,10,0.49095634805350646,2,1,1,196673.28,0,1,0,1
69,15638424,8.710982738710142,0.22972972972972974,5,0.6007440311721783,2,0,1,113656.85,0,1,0,0
70,15755648,8.772053214638595,0.04054054054054054,8,0.39208453121345005,1,1,0,18203.0,0,0,0,0
71,15703793,9.03688565809579,0.5405405405405406,2,0.5330667921784499,4,1,0,28373.86,1,1,0,1
72,15620344,9.33319160782525,0.14864864864864866,6,0.0,1,1,0,33953.87,0,0,0,1
73,15812518,8.693375853439345,0.25675675675675674,0,0.6520861916485693,1,0,1,44203.55,0,0,1,0
74,15779052,8.453028103720161,0.0945945945945946,5,0.6288642532113338,2,1,1,58426.81,0,1,0,0
75,15770811,8.036293432685742,0.24324324324324326,9,0.0,2,0,1,145562.4,0,0,0,1
76,15780961,9.024623925725084,0.04054054054054054,1,0.7123138721382853,2,1,0,22388.0,0,0,0,0
77,15614049,8.724141342909673,0.5,8,0.0,2,1,1,139161.64,0,0,0,1
78,15662085,8.785029643636324,0.1891891891891892,9,0.0,1,1,1,148210.64,0,0,0,0
79,15575185,9.113781797995872,0.20270270270270271,5,0.30790676804275396,1,0,1,194239.63,0,0,1,1
80,15803136,7.465022313634495,0.3108108108108108,10,0.4870091278893355,2,1,0,98301.61,0,1,0,0
81,15706021,8.728518735186041,0.21621621621621623,1,0.38519838871631107,2,0,0,171413.66,0,0,0,0
82,15663706,9.193347427571483,0.1891891891891892,2,0.0,1,1,0,136458.19,1,0,0,0
83,15641732,8.15830510742128,0.24324324324324326,3,0.0,2,0,0,26019.59,0,0,0,0
84,15701164,7.968627128696236,0.21621621621621623,4,0.35993745508385494,1,1,1,159235.29,0,0,0,0
85,15738751,7.899791694555564,0.3783783783783784,4,0.0,2,1,0,1907.66,0,0,0,0
86,15805254,8.67126646028684,0.7702702702702703,10,0.0,2,1,1,114675.75,0,0,1,0
87,15762418,9.085602964160698,0.05405405405405406,3,0.4849850391447779,1,1,0,128643.35,1,0,1,1
88,15625759,8.999999999999998,0.16216216216216217,9,0.0,2,1,0,151869.35,0,0,0,1
89,15622897,8.644585471747908,0.3783783783783784,4,0.0,3,1,0,93251.42,1,0,0,0
90,15767954,8.595238034338408,0.13513513513513514,3,0.32532599191966743,2,1,1,156791.36,0,1,0,0
91,15757535,8.64904374250819,0.35135135135135137,5,0.0,3,1,1,174205.22,1,0,1,0
92,15731511,9.314019015607672,0.36486486486486486,7,0.4728077045146099,2,1,0,147132.46,0,0,0,1
93,15809248,8.062017978914577,0.24324324324324326,10,0.0,2,1,0,109614.57,0,0,0,0
94,15640635,9.161686918773409,0.14864864864864866,8,0.0,2,1,1,172290.61,0,0,0,1
95,15676966,9.0041133460937,0.32432432432432434,4,0.0,2,0,1,85982.47,0,0,1,1
96,15699461,8.015594581376558,0.22972972972972974,10,0.7025719087777831,1,0,1,121277.78,0,0,1,1
97,15738721,9.177544478619444,0.3108108108108108,9,0.4098374762438407,1,0,1,64595.25,0,0,1,1
98,15693683,9.337016686781281,0.14864864864864866,8,0.38695551648081494,2,1,1,197276.13,0,1,0,1
99,15604348,8.921121404456349,0.05405405405405406,8,0.0,2,0,0,99645.04,0,0,1,1
100,15633059,7.447034238345107,0.21621621621621623,9,0.0,2,0,0,6534.18,0,0,0,1
101,15808582,8.728518735186041,0.2972972972972973,6,0.0,1,1,1,161848.03,0,0,0,0
102,15743192,8.540750116473754,0.35135135135135137,6,0.0,2,0,0,167162.43,0,0,0,0
103,15580146,9.03688565809579,0.17567567567567569,9,0.3295128711422235,1,1,0,41970.72,0,0,0,1
104,15776605,8.082480041244379,0.24324324324324326,7,0.0,2,1,0,60536.56,0,0,1,1
105,15804919,8.750340122833272,0.6351351351351351,1,0.0,1,1,1,177655.68,1,0,1,0
106,15613854,8.53617797956334,0.3783783783783784,4,0.4267600044304841,2,1,1,30984.59,1,0,1,0
107,15599195,8.349125609133615,0.1891891891891892,1,0.3544810564321155,1,1,1,10054.53,0,1,0,1
108,15812878,9.22479135746758,0.24324324324324326,2,0.39779836506527416,1,0,1,36976.52,0,1,0,0
109,15602312,8.457690558114923,0.20270270270270271,5,0.5982221706032118,1,0,0,71862.79,0,0,1,1
110,15744689,7.824294185879079,0.22972972972972974,9,0.3700063639384421,1,1,0,99449.86,1,1,0,1
111,15803526,8.815159819493001,0.16216216216216217,3,0.36085093354038683,1,0,1,63082.88,0,1,0,1
112,15665790,8.133187014000045,0.28378378378378377,7,0.43067326658405414,2,1,0,27231.26,0,1,0,1
113,15715951,8.25237152513943,0.32432432432432434,2,0.39951818684630086,1,0,0,86797.41,0,0,0,1
114,15591100,8.772053214638595,0.24324324324324326,9,0.42324176321948087,1,0,1,22994.32,0,0,1,1
115,15609618,8.966957022393517,0.13513513513513514,9,0.6156903785118493,2,0,1,101300.94,1,1,0,1
116,15675522,8.563537711445838,0.16216216216216217,9,0.5275101536245255,2,1,1,74169.13,0,1,0,0
117,15705512,8.741624638856289,0.25675675675675674,6,0.6690541167531406,1,1,0,115638.29,0,1,0,0
118,15698028,7.968627128696236,0.3108108108108108,1,0.0,2,1,0,31766.3,0,0,0,0
119,15661670,8.062017978914577,0.17567567567567569,8,0.42973077236259555,1,1,0,199725.39,1,1,0,0
120,15600781,8.874809888144785,0.21621621621621623,4,0.7380439205416032,2,1,0,120834.48,0,1,0,1
121,15682472,9.390241873003548,0.21621621621621623,8,0.5158801328459695,2,0,0,38131.77,0,0,0,1
122,15580203,8.767719195546437,0.28378378378378377,6,0.47905275006278447,1,0,0,100130.95,0,0,1,1
123,15690673,8.68896297153722,0.28378378378378377,6,0.0,2,1,0,141069.88,0,0,0,0
124,15760085,8.810868114910335,0.40540540540540543,10,0.5037281072964724,1,1,1,198129.36,0,1,0,0
125,15779659,8.549879733383484,0.13513513513513514,3,0.0,1,0,0,183646.41,0,0,0,0
126,15627360,7.559526299369237,0.32432432432432434,9,0.6082288231050305,1,1,0,110265.24,1,0,0,1
127,15671137,8.188244110060218,0.4594594594594595,1,0.0,1,0,1,8636.05,1,0,0,0
128,15782688,8.549879733383484,0.5135135135135135,0,0.5919026326585427,1,1,0,46824.08,1,1,0,1
129,15575492,9.390241873003548,0.3108108108108108,7,0.0,2,1,0,171378.77,0,0,0,0
130,15591607,9.165656454330222,0.08108108108108109,9,0.4058503195460755,1,1,0,167256.35,0,0,0,1
131,15740404,9.117793146136176,0.21621621621621623,3,0.0,2,1,1,124226.16,0,0,0,0
132,15718369,9.263797281695542,0.20270270270270271,9,0.5215760311288141,1,1,1,114935.21,0,1,0,0
133,15677871,8.823730714361636,0.2702702702702703,9,0.48852850972281214,1,1,1,35608.88,0,0,0,1
134,15642004,8.819447349264111,0.0945945945945946,1,0.0,2,0,1,16459.37,0,0,0,1
135,15712543,9.240433254923234,0.28378378378378377,7,0.49752654553886805,2,1,1,124411.08,0,1,0,1
136,15584518,8.382465312104411,0.43243243243243246,5,0.5775055920114815,2,1,1,34941.23,0,1,0,0
137,15802381,7.7250323797793055,0.21621621621621623,5,0.253744179559119,1,0,1,167784.28,0,1,0,0
138,15610156,8.604252448951648,0.2972972972972973,2,0.531941474723861,1,0,1,93165.34,0,0,0,1
139,15594408,8.358678392762462,0.40540540540540543,2,0.8495329717336629,1,1,0,75161.25,1,0,1,0
140,15640905,8.334755312898645,0.22972972972972974,1,0.5161073964333487,2,0,1,8590.83,1,0,1,0
141,15698932,9.109766915626984,0.35135135135135137,10,0.547840320346799,1,1,0,189543.9,0,1,0,1
142,15724944,8.719759553451878,0.21621621621621623,7,0.0,2,1,1,180427.24,0,0,0,1
143,15628145,8.80227214056056,0.33783783783783783,5,0.5016057714907276,1,1,1,193318.33,0,0,0,0
144,15713483,9.256022374743187,0.4594594594594595,2,0.0,1,1,0,159123.82,1,0,1,1
145,15612350,8.840822729402928,0.17567567567567569,5,0.16307637096798944,1,1,0,126213.84,1,0,0,0
146,15800703,7.856828007847996,0.04054054054054054,5,0.45100869440656166,1,1,1,54141.5,0,0,1,0
147,15705707,8.595238034338408,0.14864864864864866,8,0.5512076237806354,2,1,0,141075.51,0,0,1,0
148,15754105,8.662391053409024,0.25675675675675674,5,0.42633716342758926,1,0,0,24495.03,0,0,0,1
149,15703264,9.024623925725084,0.35135135135135137,9,0.48099859986977184,1,1,0,74836.34,0,0,0,1
150,15794413,7.465022313634495,0.1891891891891892,0,0.0,2,0,1,878.87,0,0,0,1
151,15650237,9.101726516996132,0.1891891891891892,7,0.0,2,1,0,89520.75,0,0,1,0
152,15759618,8.118041379299232,0.40540540540540543,9,0.0,1,1,0,149892.79,1,0,0,0
153,15811589,8.946180865879617,0.32432432432432434,8,0.0,2,1,0,180800.42,0,0,1,1
154,15689044,8.138223044397703,0.25675675675675674,2,0.5086112453068096,1,1,0,98646.22,0,0,0,1
155,15709368,8.499423259599258,0.33783783783783783,6,0.0,2,1,1,109041.53,0,0,0,0
156,15679145,8.904336564422959,0.527027027027027,7,0.0,1,1,0,17941.16,1,0,1,1
157,15655007,9.117793146136176,0.20270270270270271,7,0.0,2,0,0,82996.47,0,0,0,0
158,15623595,8.368209391204644,0.13513513513513514,2,0.0,2,1,1,92067.35,0,0,1,0
159,15589975,8.644585471747908,0.7432432432432432,6,0.3876444416137245,1,0,1,104719.66,0,0,0,0
160,15804017,8.577152261731758,0.20270270270270271,4,0.4912221531857815,1,0,0,112687.57,0,1,0,0
161,15692132,8.950343817092747,0.05405405405405406,6,0.4027940188783422,1,0,1,84699.56,0,0,1,0
162,15641122,8.810868114910335,0.16216216216216217,2,0.0,2,1,0,83473.82,0,0,0,1
163,15630910,9.283177667225555,0.4189189189189189,7,0.43048299012559244,1,0,0,47125.11,0,0,0,0
164,15680772,8.966957022393517,0.24324324324324326,2,0.0,2,1,1,106977.8,0,0,1,0
165,15658929,8.806572225338611,0.14864864864864866,0,0.5328972014095444,1,1,0,55582.54,1,0,1,1
166,15585388,8.70658769117361,0.17567567567567569,9,0.4989665325869958,2,1,1,139874.43,0,1,0,1
167,15724623,8.895920362277263,0.08108108108108109,7,0.45051845552112413,1,1,0,162503.48,1,1,0,0
168,15588537,8.504034993146382,0.3108108108108108,9,0.4344920680743325,1,1,0,196499.96,0,0,1,0
169,15574692,8.73726037221036,0.28378378378378377,2,0.0,2,1,0,40721.24,1,0,1,0
170,15611325,8.80227214056056,0.08108108108108109,9,0.23088980071550166,2,0,0,53134.3,0,1,0,1
171,15587562,7.851424410539687,0.14864864864864866,4,0.518594581568955,1,1,0,164017.89,0,0,0,0
172,15613172,8.563537711445838,0.12162162162162163,5,0.38193391587795666,2,1,0,155996.96,0,1,0,1
173,15651022,7.829735282337727,0.35135135135135137,10,0.5165785439020282,1,1,0,5472.7,1,1,0,1
174,15586310,8.329954185503958,0.16216216216216217,4,0.6754220010204143,1,1,0,112187.11,0,0,0,1
175,15625524,7.999999999999998,0.2972972972972973,5,0.0,2,1,1,146457.83,0,0,0,1
176,15755209,7.851424410539687,0.22972972972972974,7,0.5335561143570283,1,1,1,27286.1,0,0,1,0
177,15645248,7.989569740454013,0.16216216216216217,0,0.0,2,1,1,130553.47,0,0,0,0
178,15790355,8.462347877645415,0.24324324324324326,5,0.7591906339342799,2,0,0,179351.89,0,1,0,1
179,15762615,8.42024594794657,0.2972972972972973,8,0.40651214204141606,1,0,1,94774.12,0,0,1,0
180,15625426,9.101726516996132,0.5,3,0.6441213243193681,1,1,0,8080.85,1,1,0,0
181,15716334,9.472682371859094,0.36486486486486486,2,0.4874935875358796,1,1,1,19482.5,0,0,1,0
182,15789669,7.989569740454013,0.6351351351351351,2,0.0,2,1,1,48071.61,0,0,0,1
183,15621075,9.197289686814337,0.36486486486486486,1,0.6462800095449113,2,1,0,174531.27,0,1,0,0
184,15810845,8.59974760391409,0.32432432432432434,2,0.0,2,1,1,55470.78,0,0,0,1
185,15719377,9.298623914791198,0.43243243243243246,4,0.0,1,1,1,8546.87,1,0,0,0
186,15654506,8.01040313265657,0.1891891891891892,8,0.0,2,1,0,95857.18,0,0,0,1
187,15771977,9.0041133460937,0.28378378378378377,1,0.3946250447741551,1,1,0,194945.8,0,0,0,0
188,15708710,8.067143230122717,0.25675675675675674,0,0.0,1,0,1,131521.72,0,0,1,0
189,15726676,8.50864173023001,0.16216216216216217,5,0.0,2,0,1,196108.51,0,0,1,1
190,15587421,8.823730714361636,0.21621621621621623,7,0.4439578635293716,2,1,0,148564.76,0,1,0,0
191,15726931,8.942014036741272,0.3108108108108108,8,0.22405451552062433,2,0,0,92982.61,1,0,0,0
192,15771086,7.999999999999998,0.24324324324324326,3,0.3361036746035014,2,1,0,17675.36,0,0,0,0
193,15756850,7.824294185879079,0.2972972972972973,1,0.0,2,0,0,114996.43,0,0,0,1
194,15702741,8.43900978926739,0.1891891891891892,8,0.3707198010156235,1,1,0,86957.42,0,0,0,1
195,15679200,8.339550915402608,0.14864864864864866,9,0.2459581896378725,2,1,0,128077.8,0,0,1,1
196,15594815,9.310175012275655,0.22972972972972974,3,0.6966579538329686,1,1,1,600.36,0,0,0,1
197,15635905,8.50864173023001,0.1891891891891892,6,0.0,2,1,1,43001.46,0,0,1,0
198,15777892,8.966957022393517,0.25675675675675674,3,0.42934021538386363,1,1,1,158591.12,0,1,0,1
199,15656176,7.942293073037287,0.527027027027027,10,0.0,2,1,1,47847.19,0,0,0,1
200,15811127,8.04660299297347,0.22972972972972974,6,0.38431476301792494,1,1,0,10488.44,0,0,0,1
201,15604482,9.472682371859094,0.16216216216216217,2,0.5621406284918311,1,1,1,5978.2,0,0,1,1
202,15622911,9.121800967815442,0.32432432432432434,4,0.4201713133806638,1,0,1,121409.06,0,0,0,1
203,15600974,8.0207793141168,0.43243243243243246,5,0.0,1,0,1,146145.93,1,0,1,1
204,15727868,8.925307759554338,0.2702702702702703,2,0.5142409015548902,2,1,1,14374.86,1,0,0,0
205,15627801,7.999999999999998,0.20270270270270271,3,0.7041369665269274,1,1,0,94670.77,0,0,1,1
206,15773039,8.193212706006458,0.25675675675675674,3,0.0,1,1,1,179670.31,0,0,0,1
207,15755262,8.471647168509783,0.3108108108108108,3,0.35777012092838173,1,0,0,199304.74,1,0,1,0
208,15679531,8.517840268993503,0.21621621621621623,5,0.5378858404223006,1,1,1,151954.39,0,0,0,1
209,15684181,8.631182992158436,0.36486486486486486,5,0.0,1,1,0,142513.5,1,0,0,1
210,15612087,8.754691361801425,0.36486486486486486,2,0.42398429577522895,1,0,1,158264.62,0,0,0,1
211,15752047,8.832284990891333,0.20270270270270271,2,0.6449416972444869,2,1,0,169381.9,0,1,0,1
212,15624592,8.448360500284249,0.17567567567567569,8,0.0,2,1,1,169915.02,0,0,0,1
213,15573152,8.527018983281595,0.3108108108108108,9,0.0,2,0,0,88852.47,0,0,0,0
214,15594917,8.776382955329126,0.21621621621621623,1,0.25147664535828074,1,1,1,40645.81,0,0,0,0
215,15785542,8.301030500589404,0.10810810810810811,4,0.47145440604988265,2,0,0,60427.3,0,1,0,1
216,15723488,8.741624638856289,0.3918918918918919,7,0.4258869009325659,1,0,1,157959.02,1,1,0,1
217,15680920,8.85784891056496,0.3783783783783784,7,0.19734127908267457,1,1,0,133007.34,0,0,0,1
218,15786308,9.0041133460937,0.20270270270270271,9,0.0,2,0,0,176576.62,0,0,1,0
219,15659366,9.310175012275655,0.33783783783783783,1,0.42168244485241,2,1,0,34888.04,1,0,0,1
220,15774854,8.396672907616813,0.4864864864864865,8,0.0,1,1,1,28737.71,1,0,0,1
221,15725311,8.987637347075678,0.17567567567567569,9,0.45724560916346557,2,1,1,98178.57,0,0,0,0
222,15787155,8.01040313265657,0.16216216216216217,7,0.0,1,0,1,125010.24,0,0,1,1
223,15727829,8.276772529143361,0.32432432432432434,2,0.0,2,1,1,167984.61,0,0,0,1
224,15733247,9.472682371859094,0.20270270270270271,10,0.0,1,1,0,4861.72,1,0,0,1
225,15568748,8.754691361801425,0.36486486486486486,6,0.3968313190427237,1,1,1,108872.45,1,1,0,1
226,15699029,8.750340122833272,0.25675675675675674,4,0.6797895910646431,2,1,0,198252.88,0,0,0,1
227,15774393,8.85359850256564,0.16216216216216217,9,0.0,2,1,1,26960.31,0,0,0,0
228,15676895,8.178288788255802,0.28378378378378377,6,0.29731653198316493,3,1,1,85746.52,1,1,0,0
229,15637753,9.08963921656376,0.43243243243243246,2,0.3861663115889005,1,1,0,77206.25,1,1,0,1
230,15605461,8.40611799196616,0.14864864864864866,3,0.5214476523117414,1,1,0,61048.53,0,1,0,0
231,15808473,8.763380887467774,0.7297297297297297,1,0.0,2,0,1,111981.19,0,0,0,1
232,15627000,8.480926088488115,0.2972972972972973,0,0.0,2,1,0,62232.6,0,0,0,1
233,15787174,7.999999999999998,0.25675675675675674,1,0.0,2,0,1,156105.03,0,0,0,0
234,15723886,9.153737511815383,0.02702702702702703,3,0.47714293082103576,2,0,1,150135.38,0,1,0,1
235,15704769,8.363446607369193,0.6621621621621622,5,0.45428392858630373,2,0,1,93146.11,0,0,0,0
236,15772896,9.137797144320912,0.32432432432432434,6,0.3992088979234557,1,1,0,33462.94,1,1,0,1
237,15711540,8.929490191169075,0.14864864864864866,2,0.0,1,1,1,144375.0,0,0,0,0
238,15764866,8.138223044397703,0.33783783783783783,3,0.463217954349513,3,1,0,55803.96,1,1,0,0
239,15794056,8.741624638856289,0.3783783783783784,2,0.0,3,1,0,89048.46,1,0,0,0
240,15795149,8.891706282839353,0.13513513513513514,2,0.32353307273084464,2,0,1,162812.16,0,0,0,1
241,15812009,8.715373355753329,0.2702702702702703,4,0.0,2,1,0,136259.65,0,0,1,1
242,15651001,8.98350889571526,0.28378378378378377,5,0.4655428026574455,1,1,0,124052.97,0,1,0,0
243,15813844,8.891706282839353,0.25675675675675674,8,0.4223295601811875,2,0,1,74158.8,0,0,0,1
244,15596175,8.702188201949959,0.6621621621621622,6,0.467965300174266,1,1,1,45071.09,1,1,0,1
245,15576269,8.05688620287555,0.21621621621621623,7,0.0,2,1,0,62030.06,0,0,1,1
246,15797219,8.595238034338408,0.2972972972972973,10,0.49222208108479426,1,1,0,131953.23,1,0,0,0
247,15685500,9.173585226843102,0.10810810810810811,7,0.6074199688008786,2,1,0,79414.0,0,1,0,1
248,15599792,8.168309170303784,0.10810810810810811,1,0.0,2,1,1,199638.56,0,0,0,0
249,15657566,8.590723727817716,0.08108108108108109,8,0.4109152445122241,1,1,1,157577.29,0,1,0,1
250,15772423,9.040965516734964,0.4864864864864865,8,0.5038625044933582,1,1,0,134420.75,1,1,0,1
251,15628112,9.169622554545802,0.24324324324324326,5,0.31027298772979894,1,0,0,99805.99,0,1,0,0
252,15753754,8.372966759705925,0.21621621621621623,1,0.0,2,1,1,97932.68,0,0,1,0
253,15793726,8.79796785031895,0.8243243243243243,0,0.0,2,0,1,170968.99,0,0,0,0
254,15694717,8.163310203834696,0.25675675675675674,2,0.31778603814799866,1,1,1,57558.95,0,1,0,1
255,15665834,8.86209524338727,0.13513513513513514,8,0.0,1,0,0,176713.47,0,0,1,1
256,15765297,9.149757625439008,0.3108108108108108,0,0.0,2,0,1,34283.23,0,0,1,1
257,15636684,8.991762009126496,0.21621621621621623,10,0.0,2,1,1,198637.34,0,0,0,1
258,15592979,8.754691361801425,0.21621621621621623,6,0.14853309564851608,2,0,0,156917.12,0,1,0,0
259,15750803,8.849344009597905,0.16216216216216217,6,0.5101364063791797,1,1,1,50457.2,0,0,0,0
260,15607178,9.472682371859094,0.2702702702702703,3,0.21881796708775264,1,1,1,140075.55,0,1,0,1
261,15713853,9.012328782536258,0.32432432432432434,9,0.43343526449324504,2,1,1,65323.11,0,1,0,1
262,15673481,8.987637347075678,0.40540540540540543,6,0.39819430271469985,1,1,0,64323.24,0,0,1,0
263,15686776,8.227825361333299,0.1891891891891892,6,0.7361012991370322,2,1,0,14956.44,0,0,0,0
264,15673693,8.80227214056056,0.10810810810810811,0,0.441031735235609,1,0,1,111879.21,0,0,0,0
265,15700696,9.03688565809579,0.17567567567567569,9,0.3149477941422352,1,1,1,18606.23,0,0,1,1
266,15813163,8.097758867857014,0.24324324324324326,9,0.395541113923984,1,1,0,123137.01,0,0,1,0
267,15653857,7.926408444489703,0.21621621621621623,2,0.0,2,1,1,148528.24,0,0,0,1
268,15777076,8.66683102909851,0.24324324324324326,7,0.0,2,1,0,13898.31,0,0,0,1
269,15717398,8.188244110060218,0.28378378378378377,7,0.0,1,0,0,81259.25,1,0,1,0
270,15799217,9.248234384213015,0.22972972972972974,7,0.20899401824860445,1,1,0,161051.75,0,1,0,0
271,15787071,8.662391053409024,0.3108108108108108,9,0.0,2,0,1,191599.67,0,0,1,1
